# 02805 shared playground — week 4 release (frozen snapshot, 2026-09-15)
# Philosophers on English Wikipedia, born before 1900: everyone in the seven lists
# 'List of philosophers born in the centuries BC' ... 'born in the 19th century'
# (redirects resolved). 1444 philosophers. era = the list they appear in;
# subfields = any of Wikipedia's subfield lists they are also on. node_id matches
# week4_philosophers_edges.tsv.
node_id	name	wikidata_id	url	era	subfields	description
Adam_Smith	Adam Smith	Q9381	https://en.wikipedia.org/wiki/Adam_Smith	18th century	ethicists	Adam Smith was a Scottish economist and philosopher who was a pioneer in the field of political economy and key figure during the Scottish Enlightenment.
Adam_of_Balsham	Adam of Balsham	Q321390	https://en.wikipedia.org/wiki/Adam_of_Balsham	11th through 14th centuries		Adam of Balsham was an Anglo-Norman scholastic and churchman.
Adam_of_Wodeham	Adam of Wodeham	Q4680059	https://en.wikipedia.org/wiki/Adam_of_Wodeham	11th through 14th centuries		Adam of Wodeham, OFM was a philosopher and theologian.
Addison_Webster_Moore	Addison Webster Moore	Q2824154	https://en.wikipedia.org/wiki/Addison_Webster_Moore	19th century		Addison Webster Moore was a U.S. pragmatist philosopher.
Adelard_of_Bath	Adelard of Bath	Q312372	https://en.wikipedia.org/wiki/Adelard_of_Bath	11th through 14th centuries		Adelard of Bath was a 12th-century English natural philosopher.
Adi_Shankara	Adi Shankara	Q180967	https://en.wikipedia.org/wiki/Adi_Shankara	1st through 10th centuries	metaphysicians	Adi Shankara, also called Adi Shankaracharya, was an Indian Vedic scholar-monk, philosopher, and teacher of Advaita Vedanta.
Adolf_Reinach	Adolf Reinach	Q66061	https://en.wikipedia.org/wiki/Adolf_Reinach	19th century		Adolf Bernhard Philipp Reinach was a German philosopher associated with the Munich phenomenology school.
Aedesius	Aedesius	Q404023	https://en.wikipedia.org/wiki/Aedesius	1st through 10th centuries		Aedesius was a Neoplatonic philosopher and mystic.
Aenesidemus	Aenesidemus	Q314467	https://en.wikipedia.org/wiki/Aenesidemus	centuries BC	epistemologists	Aenesidemus was a 1st-century BC Greek Pyrrhonist philosopher from Knossos who revived the doctrines of Pyrrho and introduced ten skeptical "modes" for the suspension of judgment.
Afrikan_Spir	Afrikan Spir	Q385790	https://en.wikipedia.org/wiki/Afrikan_Spir	19th century		Afrikan Alexandrovich Spir, also spelled African Spir, was a Russian-born philosopher of German-Greek descent who wrote primarily in German, but also French.
Agostino_Nifo	Agostino Nifo	Q395689	https://en.wikipedia.org/wiki/Agostino_Nifo	15th and 16th centuries		Agostino Nifo was an Italian philosopher and commentator.
Agrippa_the_Skeptic	Agrippa the Skeptic	Q365115	https://en.wikipedia.org/wiki/Agrippa_the_Skeptic	1st through 10th centuries		Agrippa was a Pyrrhonist philosopher who probably lived towards the end of the 1st century CE.
Ahad_Ha'am	Ahad Ha'am	Q380425	https://en.wikipedia.org/wiki/Ahad_Ha%27am	19th century		Asher Zvi Hirsch Ginsberg, primarily known by his Hebrew name and pen name Ahad Ha'am, was a Hebrew journalist and essayist, and one of the foremost pre-state Zionist thinkers.
Ahmad_ibn_Hanbal	Ahmad ibn Hanbal	Q194442	https://en.wikipedia.org/wiki/Ahmad_ibn_Hanbal	1st through 10th centuries		Ahmad ibn Hanbal was an Arab jurist and founder of the Hanbali school who is widely recognized as the scholar who memorized the most Hadiths in Islamic history.
Ahmad_ibn_al-Tayyib_al-Sarakhsi	Ahmad ibn al-Tayyib al-Sarakhsi	Q4117210	https://en.wikipedia.org/wiki/Ahmad_ibn_al-Tayyib_al-Sarakhsi	1st through 10th centuries		Ahmad ibn al-Tayyib al-Sarakhsi was a Persian traveler, historian and philosopher from the city of Sarakhs.
Ajita_Kesakambali	Ajita Kesakambali	Q153187	https://en.wikipedia.org/wiki/Ajita_Kesakambali	centuries BC		Ajita Kesakambali was an ancient Indian philosopher in the 6th century BC.
Akka_Mahadevi	Akka Mahadevi	Q3518406	https://en.wikipedia.org/wiki/Akka_Mahadevi	11th through 14th centuries		Akka Mahadevi was a 12th century philosopher, poet, mystic and a prominent member of the Lingayatism denomination of Hinduism founded in the 12th century.
Akshobhya_Tirtha	Akshobhya Tirtha	Q48730567	https://en.wikipedia.org/wiki/Akshobhya_Tirtha	11th through 14th centuries		Shree Akshobhya Tirtha was a Dvaita philosopher, scholar and theologian.
Al-Allama_al-Hilli	Al-Allama al-Hilli	Q290506	https://en.wikipedia.org/wiki/Al-Allama_al-Hilli	11th through 14th centuries		Jamāl ad-Dīn al-Ḥasan ibn Yūsuf ibn ʿAli ibn al-Muṭahhar al-Ḥillī, commonly known as al-Allāmah al-Ḥillī, was a Twelver Shi'a Muslim scholar and theologian of Iraqi Arab descent.
Al-Baqillani	Al-Baqillani	Q2608002	https://en.wikipedia.org/wiki/Al-Baqillani	1st through 10th centuries		Abū Bakr Muḥammad ibn al-Ṭayyib al-Bāqillānī, was a Sunni Muslim scholar and polymath who specialized in speculative Islamic theology, jurisprudence, logic, and hadith.
Al-Farabi	Al-Farabi	Q160460	https://en.wikipedia.org/wiki/Al-Farabi	1st through 10th centuries	epistemologists	Abu Nasr Muhammad al-Farabi, known in the Latin West as Alpharabius, was an early Islamic philosopher and music theorist.
Al-Ghazali	Al-Ghazali	Q9546	https://en.wikipedia.org/wiki/Al-Ghazali	11th through 14th centuries	epistemologists, ethicists, social and political philosophers	Al-Ghazali, (Persian: ابو حامد محمد ابن محمد غزالی توسی, romanized: Abū Ḥāmid Muḥammad ibn Muḥammad Ghazālī Ṭūsi, Latinized as Algazelus, was a Shafi'i Sunni Muslim Persian scholar and polymath.
Al-Juwayni	Al-Juwayni	Q2584074	https://en.wikipedia.org/wiki/Al-Juwayni	11th through 14th centuries		Dhia' ul-Dīn 'Abd al-Malik ibn Yūsuf al-Juwaynī al-Shafi'ī was an Iranian Sunni scholar famous for being the foremost leading jurisconsult, legal theoretician and Islamic theologian of his time.
Al-Kindi	Al-Kindi	Q179759	https://en.wikipedia.org/wiki/Al-Kindi	1st through 10th centuries	epistemologists	Abū Yūsuf Yaʻqūb ibn ʼIsḥāq aṣ-Ṣabbāḥ al-Kindī was a Mesopotamian Arab polymath who was active as a philosopher, mathematician, physician, and music theorist.
Al-Ma'arri	Al-Ma'arri	Q277073	https://en.wikipedia.org/wiki/Al-Ma%27arri	1st through 10th centuries		Abu al-Ala al-Ma'arri, also known by his Latin name Abulola Moarrensis, was an Arab philosopher, poet, and writer from Ma'arrat al-Nu'man, Emirate of Aleppo.
Al-Mawardi	Al-Mawardi	Q335635	https://en.wikipedia.org/wiki/Al-Mawardi	1st through 10th centuries		Ali ibn Muhammad ibn Habib, commonly known by the nisba al-Mawardi, was a Sunni polymath and a Shafi'i jurist, legal theoretician, muhaddith, theologian, sociologist and an expert in political science.
Al-Qadi_Abd_al-Jabbar	Al-Qadi Abd al-Jabbar	Q3773706	https://en.wikipedia.org/wiki/Al-Qadi_Abd_al-Jabbar	1st through 10th centuries		Abu al-Hasan ʿAbd al-Jabbar ibn Ahmad ibn Khalil ibn ʿAbdallah al-Hamadani al-Asadabadi was a Persian Mu'tazili theologian, jurist and hadith scholar who is remembered as the Qadi al-Qudat of the Buyid dynasty, and a reported follower of the Shafi‘i school.
Al-Qushayri	Al-Qushayri	Q4115259	https://en.wikipedia.org/wiki/Al-Qushayri	1st through 10th centuries		'Abd al-Karīm ibn Hawazin Abū al-Qāsim al-Qushayrī al-Naysābūrī was an Arab Muslim scholar, theologian, jurist, legal theoretician, commentator of the Qur’an, muhaddith, grammarian, spiritual master, orator, poet, and an eminent scholar who mastered a number of Islamic sciences.
Al-Shafi'i	Al-Shafi'i	Q294281	https://en.wikipedia.org/wiki/Al-Shafi%27i	1st through 10th centuries		Al-Shafi'i (Arabic: الشَّافِعِيّ, romanized: al-Shāfiʿī; IPA: [a ʃaːfiʕiː] ;767–820 CE) was a Muslim scholar, jurist, muhaddith, traditionist, theologian, ascetic, and eponym of the Shafi'i school of Sunni Islamic jurisprudence.
Alain_(philosopher)	Alain (philosopher)	Q275003	https://en.wikipedia.org/wiki/Alain_(philosopher)	19th century		Émile-Auguste Chartier, commonly known as Alain, was a French philosopher, journalist, essayist, pacifist, and teacher of philosophy.
Alain_LeRoy_Locke	Alain LeRoy Locke	Q2120917	https://en.wikipedia.org/wiki/Alain_LeRoy_Locke	19th century		Alain LeRoy Locke was an American writer, philosopher, and educator.
Alain_de_Lille	Alain de Lille	Q4313	https://en.wikipedia.org/wiki/Alain_de_Lille	11th through 14th centuries		Alain de Lille was a French theologian and poet.
Albert_Einstein	Albert Einstein	Q937	https://en.wikipedia.org/wiki/Albert_Einstein	19th century		Albert Einstein was a German-born theoretical physicist best known for developing the theory of relativity.
Albert_Schweitzer	Albert Schweitzer	Q49325	https://en.wikipedia.org/wiki/Albert_Schweitzer	19th century		Ludwig Philipp Albert Schweitzer was a German polymath from Alsace.
Albert_of_Saxony_(philosopher)	Albert of Saxony (philosopher)	Q61044	https://en.wikipedia.org/wiki/Albert_of_Saxony_(philosopher)	11th through 14th centuries	logicians	Albert of Saxony was a German late medieval philosopher, mathematician, and Latin bishop known for his contributions to logic and physics.
Albertus_Magnus	Albertus Magnus	Q60059	https://en.wikipedia.org/wiki/Albertus_Magnus	11th through 14th centuries	metaphysicians	Albertus Magnus, also known as Saint Albert the Great, Albert of Swabia, Albert von Bollstadt, or Albert of Cologne, was a German Dominican friar, philosopher, scientist, and bishop.
Albinus_(philosopher)	Albinus (philosopher)	Q657941	https://en.wikipedia.org/wiki/Albinus_(philosopher)	1st through 10th centuries		Albinus was a Platonist philosopher, who lived at Smyrna, and was teacher of Galen.
Alcibiades	Alcibiades	Q187982	https://en.wikipedia.org/wiki/Alcibiades	centuries BC		Alcibiades was an Athenian statesman and general.
Alcinous_(philosopher)	Alcinous (philosopher)	Q936686	https://en.wikipedia.org/wiki/Alcinous_(philosopher)	1st through 10th centuries		Alcinous was a Middle Platonist philosopher.
Alcmaeon_of_Croton	Alcmaeon of Croton	Q188332	https://en.wikipedia.org/wiki/Alcmaeon_of_Croton	centuries BC	metaphysicians	Alcmaeon of Croton was an early Greek medical writer and philosopher-scientist.
Alcuin	Alcuin	Q154332	https://en.wikipedia.org/wiki/Alcuin	1st through 10th centuries	logicians	Alcuin of York, also called Ealhwine, Alhwin, or Alchoin, was an Anglo-Saxon scholar, clergyman, poet, and teacher from York, Northumbria, who was active in the Carolingian Empire in the 8th century.
Alejandro_Korn	Alejandro Korn	Q4714583	https://en.wikipedia.org/wiki/Alejandro_Korn	19th century		Alejandro Korn was an Argentine psychiatrist, philosopher, reformist and politician.
Aleksei_Losev	Aleksei Losev	Q1248105	https://en.wikipedia.org/wiki/Aleksei_Losev	19th century		Aleksei Fyodorovich Losev was a Soviet and Russian philosopher, philologist and culturologist, one of the most prominent figures in Russian philosophical and religious thought of the 20th century.
Aleksey_Khomyakov	Aleksey Khomyakov	Q358497	https://en.wikipedia.org/wiki/Aleksey_Khomyakov	19th century		Aleksey Stepanovich Khomyakov was a Russian theologian, philosopher, poet and amateur artist.
Alessandro_Achillini	Alessandro Achillini	Q949162	https://en.wikipedia.org/wiki/Alessandro_Achillini	15th and 16th centuries		Alessandro Achillini (Latin Alexander Achillinus; 20 or 29 October 1463 – 2 August 1512) was an Italian philosopher and physician.
Alexander_Bain_(philosopher)	Alexander Bain (philosopher)	Q384882	https://en.wikipedia.org/wiki/Alexander_Bain_(philosopher)	19th century	logicians	Alexander Bain was a Scottish philosopher and educationalist in the British school of empiricism and a prominent and innovative figure in the fields of psychology, linguistics, logic, moral philosophy and education reform.
Alexander_Bogdanov	Alexander Bogdanov	Q335142	https://en.wikipedia.org/wiki/Alexander_Bogdanov	19th century		Alexander Aleksandrovich Bogdanov, born Alexander Malinovsky, was a Russian and later Soviet physician, philosopher, science fiction writer, and Bolshevik revolutionary.
Alexander_Bryan_Johnson	Alexander Bryan Johnson	Q4718454	https://en.wikipedia.org/wiki/Alexander_Bryan_Johnson	18th century		Alexander Bryan Johnson, was a British-born American philosopher and semanticist.
Alexander_Gerard	Alexander Gerard	Q3610758	https://en.wikipedia.org/wiki/Alexander_Gerard	18th century		Alexander Gerard FRSE was a Scottish minister, academic and philosophical writer.
Alexander_Gottlieb_Baumgarten	Alexander Gottlieb Baumgarten	Q76517	https://en.wikipedia.org/wiki/Alexander_Gottlieb_Baumgarten	18th century	aestheticians	Alexander Gottlieb Baumgarten was a German philosopher.
Alexander_Herzen	Alexander Herzen	Q201221	https://en.wikipedia.org/wiki/Alexander_Herzen	19th century		Alexander Ivanovich Herzen was a Russian writer and thinker known as the precursor of Russian socialism and one of the main precursors of agrarian populism.
Alexander_Neckam	Alexander Neckam	Q1974885	https://en.wikipedia.org/wiki/Alexander_Neckam	11th through 14th centuries		Alexander Neckam was an English poet, theologian, and writer.
Alexander_of_Aphrodisias	Alexander of Aphrodisias	Q317146	https://en.wikipedia.org/wiki/Alexander_of_Aphrodisias	1st through 10th centuries	metaphysicians, social and political philosophers	Alexander of Aphrodisias was a Peripatetic philosopher and the most celebrated of the Ancient Greek commentators on the writings of Aristotle.
Alexander_of_Hales	Alexander of Hales	Q457968	https://en.wikipedia.org/wiki/Alexander_of_Hales	11th through 14th centuries	metaphysicians	Alexander of Hales—known also as Doctor Irrefragibilis, or "Irrefutable Teacher", and as Theologorum Monarcha—was a Franciscan friar, theologian, and philosopher instrumental to the development of scholasticism.
Alexandre_Koyré	Alexandre Koyré	Q319243	https://en.wikipedia.org/wiki/Alexandre_Koyr%C3%A9	19th century		Alexandre Koyré (; French: [kwaʁe]; born Alexandr Vladimirovich Koyra; 29 August 1892 – 28 April 1964), also anglicized as Alexander Koyre, was a French philosopher of Russian origin who wrote on the history and philosophy of science.
Alexis_de_Tocqueville	Alexis de Tocqueville	Q140694	https://en.wikipedia.org/wiki/Alexis_de_Tocqueville	19th century	social and political philosophers	Alexis Charles Henri Clérel, comte de Tocqueville, was a French diplomat, political philosopher and historian.
Alexius_Meinong	Alexius Meinong	Q78600	https://en.wikipedia.org/wiki/Alexius_Meinong	19th century	metaphysicians	Alexius Meinong von Handschuchsheim was an Austrian philosopher, a realist known for his unique ontology and theory of objects.
Alf_Ross	Alf Ross	Q942703	https://en.wikipedia.org/wiki/Alf_Ross	19th century		Alf Niels Christian Ross was a Danish jurist, legal philosopher and judge of the European Court of Human Rights.
Alfred_Baeumler	Alfred Baeumler	Q65697	https://en.wikipedia.org/wiki/Alfred_Baeumler	19th century		Albin Alfred Baeumler, was an Austrian-born German philosopher, pedagogue and prominent Nazi ideologue.
Alfred_Jarry	Alfred Jarry	Q7841	https://en.wikipedia.org/wiki/Alfred_Jarry	19th century		Alfred Jarry was a French symbolist writer who is best known for his play Ubu Roi, often cited as a forerunner of the Dada, Surrealist, and Futurist movements of the 1920s and 1930s and later the theatre of the absurd in the 1950s and 1960s.
Alfred_Loisy	Alfred Loisy	Q918361	https://en.wikipedia.org/wiki/Alfred_Loisy	19th century		Alfred Firmin Loisy was a French Catholic priest, theologian, and academic, generally regarded as one of the leading figures of the modernist movement within the Catholic Church.
Alfred_North_Whitehead	Alfred North Whitehead	Q183372	https://en.wikipedia.org/wiki/Alfred_North_Whitehead	19th century	logicians, metaphysicians	Alfred North Whitehead was an English mathematician and philosopher.
Alfred_Russel_Wallace	Alfred Russel Wallace	Q160627	https://en.wikipedia.org/wiki/Alfred_Russel_Wallace	19th century		Alfred Russel Wallace was an English naturalist, explorer, geographer, anthropologist and illustrator.
Alfred_Schütz	Alfred Schütz	Q94018	https://en.wikipedia.org/wiki/Alfred_Sch%C3%BCtz	19th century		Alfred Schutz was an Austrian philosopher and social phenomenologist whose work bridged sociological and phenomenological traditions.
Algernon_Sidney	Algernon Sidney	Q1034181	https://en.wikipedia.org/wiki/Algernon_Sidney	17th century		Algernon Sidney or Sydney was an English politician, republican political theorist and colonel.
Ambrose	Ambrose	Q43689	https://en.wikipedia.org/wiki/Ambrose	1st through 10th centuries	ethicists	Ambrose of Milan, canonized as Saint Ambrose, was a Roman theologian and statesman who served as Bishop of Milan from 374 to 397.
Ammonius_Hermiae	Ammonius Hermiae	Q123147	https://en.wikipedia.org/wiki/Ammonius_Hermiae	1st through 10th centuries	metaphysicians	Ammonius Hermiae was a Greek philosopher from Alexandria, Byzantine Egypt.
Ammonius_Saccas	Ammonius Saccas	Q310173	https://en.wikipedia.org/wiki/Ammonius_Saccas	1st through 10th centuries	metaphysicians	Ammonius Saccas was a Hellenistic Neoplatonic self-taught philosopher from Alexandria, Roman Egypt, generally regarded as the precursor of Neoplatonism or one of its founders.
Anacharsis	Anacharsis	Q325026	https://en.wikipedia.org/wiki/Anacharsis	centuries BC		Anacharsis was a Scythian prince and philosopher of uncertain historicity who lived in the 6th century BC.
Ananda_Coomaraswamy	Ananda Coomaraswamy	Q379589	https://en.wikipedia.org/wiki/Ananda_Coomaraswamy	19th century		Ananda Kentish Muthu Coomaraswamy was a Ceylonese metaphysician, historian and a philosopher of Indian art who was an early interpreter of Indian culture to the West.
Anandavardhana	Anandavardhana	Q2551244	https://en.wikipedia.org/wiki/Anandavardhana	1st through 10th centuries		Ānandavardhana was a Kashmiri court poet and literary critic, honored with the title of Rajanak during King Avantivarman's reign.
Anaxagoras	Anaxagoras	Q83041	https://en.wikipedia.org/wiki/Anaxagoras	centuries BC	metaphysicians	Anaxagoras was a pre-Socratic Greek philosopher.
Anaxarchus	Anaxarchus	Q366031	https://en.wikipedia.org/wiki/Anaxarchus	centuries BC		Anaxarchus was a Greek philosopher of the school of Democritus.
Anaxilaus	Anaxilaus	Q760203	https://en.wikipedia.org/wiki/Anaxilaus	centuries BC		Anaxilaus or Anaxilas of Larissa was a physician and Pythagorean philosopher.
Anaximander	Anaximander	Q42458	https://en.wikipedia.org/wiki/Anaximander	centuries BC	metaphysicians	Anaximander was a pre-Socratic Greek philosopher who lived in Miletus, a city of Ionia.
Anaximenes_of_Miletus	Anaximenes of Miletus	Q80612	https://en.wikipedia.org/wiki/Anaximenes_of_Miletus	centuries BC	metaphysicians	Anaximenes of Miletus was a pre-Socratic Greek philosopher from Miletus in Anatolia.
Anders_Nygren	Anders Nygren	Q442186	https://en.wikipedia.org/wiki/Anders_Nygren	19th century		Anders Theodor Samuel Nygren was a Swedish Lutheran theologian.
Andrea_Cesalpino	Andrea Cesalpino	Q346523	https://en.wikipedia.org/wiki/Andrea_Cesalpino	15th and 16th centuries		Andrea Cesalpino was a Florentine physician, philosopher and botanist.
Andronicus_of_Rhodes	Andronicus of Rhodes	Q352988	https://en.wikipedia.org/wiki/Andronicus_of_Rhodes	centuries BC	ethicists	Andronikos of Rhodes was a Greek philosopher from Rhodes who was also the scholarch of the Peripatetic school.
Anna_Maria_van_Schurman	Anna Maria van Schurman	Q255261	https://en.wikipedia.org/wiki/Anna_Maria_van_Schurman	17th century		Anna Maria van Schurman was a Dutch painter, engraver, poet, classical scholar, philosopher, and feminist writer who is best known for her exceptional learning and her defence of female education.
Anne_Conway_(philosopher)	Anne Conway (philosopher)	Q260404	https://en.wikipedia.org/wiki/Anne_Conway_(philosopher)	17th century		Anne Conway was an English philosopher of the seventeenth century, whose work was in the tradition of the Cambridge Platonists.
Anniceris	Anniceris	Q556865	https://en.wikipedia.org/wiki/Anniceris	centuries BC		Anniceris was a Cyrenaic philosopher. He argued that pleasure is achieved through individual acts of gratification which are sought for the pleasure that they produce, but he also laid great emphasis on the love of family, country, friendship and gratitude, which provide pleasure even when they dema
Anselm_of_Canterbury	Anselm of Canterbury	Q43939	https://en.wikipedia.org/wiki/Anselm_of_Canterbury	11th through 14th centuries	metaphysicians	Anselm of Canterbury, also known as Anselm of Aosta after his birthplace and Anselm of Bec after his monastery, was a Benedictine abbot, philosopher and theologian who served as Archbishop of Canterbury from 1093 to 1109.
Anthony_Ashley-Cooper,_3rd_Earl_of_Shaftesbury	Anthony Ashley-Cooper, 3rd Earl of Shaftesbury	Q335112	https://en.wikipedia.org/wiki/Anthony_Ashley-Cooper,_3rd_Earl_of_Shaftesbury	17th century		Anthony Ashley-Cooper, 3rd Earl of Shaftesbury was an English Whig politician, philosopher and writer.
Anthony_Collins_(philosopher)	Anthony Collins (philosopher)	Q573040	https://en.wikipedia.org/wiki/Anthony_Collins_(philosopher)	17th century		Anthony Collins was an English philosopher and essayist, notable for being one of the early proponents of Deism in Great Britain.
